Season,Outcome,T1_ID,T2_ID,T1_Team_GP,T1_Team_PTS,T1_Team_FGM,T1_Team_FGA,T1_Team_ThreePM,T1_Team_ThreePA,T1_Team_FTM,T1_Team_FTA,T1_Team_OR,T1_Team_DR,T1_Team_REB,T1_Team_AST,T1_Team_STL,T1_Team_BLK,T1_Team_TO,T1_Team_PF,T1_Team_FG_percent,T1_Team_ThreeP_percent,T1_Team_FT_percent,T1_Team_BPI,T1_Team_DEF_I,T1_Team_OFF_I,T1_Team_CONF,T1_Team_QUAL_WINS,T1_Team_SOR_RK,T1_Team_SOS_RK,T1_Team_QUAL_LOSS,T1_Team_Wins,T1_Team_Losses,T2_Team_GP,T2_Team_PTS,T2_Team_FGM,T2_Team_FGA,T2_Team_ThreePM,T2_Team_ThreePA,T2_Team_FTM,T2_Team_FTA,T2_Team_OR,T2_Team_DR,T2_Team_REB,T2_Team_AST,T2_Team_STL,T2_Team_BLK,T2_Team_TO,T2_Team_PF,T2_Team_FG_percent,T2_Team_ThreeP_percent,T2_Team_FT_percent,T2_Team_BPI,T2_Team_DEF_I,T2_Team_OFF_I,T2_Team_CONF,T2_Team_QUAL_WINS,T2_Team_SOR_RK,T2_Team_SOS_RK,T2_Team_QUAL_LOSS,T2_Team_Wins,T2_Team_Losses
2018,0.0,1243,1246,40.0,79.5,26.5,73.4,5.6,40.8,11.6,26.4,6.7,22.2,31.6,11.9,4.1,2.0,15.8,15.2,40.0,30.0,60.8,9.2,5.7,3.5,32,9.0,20.0,31.0,11.0,25.0,12.0,40.0,79.5,26.5,73.4,5.6,40.8,11.6,26.4,6.7,22.2,31.6,11.9,4.1,2.0,15.8,15.2,40.0,30.0,60.8,12.9,5.9,7.0,27,8.0,17.0,16.0,9.0,26.0,11.0
2017,0.0,1321,1435,40.0,78.8,26.4,71.5,6.2,40.8,11.5,26.1,6.9,23.0,32.1,11.3,4.0,2.3,15.2,15.8,41.0,32.2,64.8,9.4,5.8,3.6,30,6.0,35.0,43.0,9.0,24.0,12.0,40.0,78.8,26.4,71.5,6.2,40.8,11.5,26.1,6.9,23.0,32.1,11.3,4.0,2.3,15.2,15.8,41.0,32.2,64.8,10.2,4.7,5.5,28,0.0,50.0,203.0,13.0,19.0,15.0
2009,0.0,1328,1393,36.0,78.7,27.3,55.5,6.7,19.1,17.4,25.8,12.1,26.9,38.9,14.5,6.9,4.3,13.9,17.1,49.2,35.1,67.5,14.5,3.7,10.8,32,12.0,9.0,41.0,5.0,30.0,6.0,38.0,80.2,29.2,59.9,6.7,19.6,15.0,23.3,12.7,26.9,39.6,18.1,7.8,5.1,15.3,15.3,48.7,34.5,64.5,13.8,0.4,13.4,29,10.0,10.0,6.0,8.0,28.0,10.0
2011,0.0,1396,1336,38.0,74.1,24.3,67.2,4.6,31.5,11.9,30.3,9.3,21.9,31.8,11.2,4.2,1.8,16.9,14.0,42.2,31.5,62.2,10.7,6.6,4.1,31,4.0,24.0,72.0,7.0,26.0,8.0,38.0,74.1,24.3,67.2,4.6,31.5,11.9,30.3,9.3,21.9,31.8,11.2,4.2,1.8,16.9,14.0,42.2,31.5,62.2,9.0,-0.2,-0.5,30,6.0,36.0,2.0,13.0,19.0,15.0
2013,0.0,1393,1231,40.0,72.9,24.6,65.6,4.9,28.0,11.5,25.6,8.3,18.7,27.5,12.3,4.6,1.1,14.7,12.7,42.2,30.0,63.2,15.0,8.0,7.0,29,9.0,9.0,4.0,8.0,30.0,10.0,36.0,78.6,26.4,54.8,7.1,17.7,18.7,25.1,12.2,26.1,38.3,14.3,7.1,3.6,13.0,16.6,48.2,40.3,74.3,20.2,6.4,13.8,30,10.0,6.0,14.0,6.0,29.0,7.0
2021,0.0,1104,1233,33.0,79.7,28.0,64.4,10.5,30.0,13.1,18.5,12.6,28.1,40.7,14.1,8.5,4.3,13.9,18.3,43.5,35.2,70.8,14.4,8.6,5.8,27,9.0,5.0,30.0,5.0,26.0,7.0,40.0,72.8,24.1,73.4,4.1,40.8,9.5,30.9,6.2,18.7,26.0,10.8,3.6,1.1,18.1,12.7,40.0,29.9,60.8,7.9,-4.4,-4.0,28,0.0,50.0,331.0,14.0,13.0,16.0
2016,0.0,1393,1292,40.0,78.5,25.8,70.3,5.6,35.1,11.3,28.0,8.2,22.6,32.2,11.8,3.9,2.3,14.7,15.5,41.7,31.0,65.7,11.0,9.5,1.5,36,8.0,30.0,12.0,12.0,23.0,14.0,40.0,72.8,24.1,73.4,4.1,40.8,9.5,30.9,6.2,18.7,26.0,10.8,3.6,1.1,18.1,12.7,40.0,29.9,60.8,7.9,-4.4,-4.0,28,0.0,50.0,331.0,14.0,13.0,16.0
2012,0.0,1231,1308,36.0,77.3,26.4,53.6,6.4,14.8,18.2,23.8,10.6,23.8,34.4,13.5,6.5,3.2,12.9,17.6,49.2,43.1,76.3,15.2,3.2,12.1,30,9.0,11.0,11.0,7.0,27.0,9.0,36.0,78.1,26.9,56.8,4.6,14.0,19.6,29.4,14.4,25.4,39.8,13.8,6.8,4.3,14.8,17.5,47.4,32.7,66.8,7.9,-3.5,-3.1,28,0.0,50.0,288.0,12.0,20.0,15.0
2016,0.0,1393,1173,40.0,78.5,25.8,70.3,5.6,35.1,11.3,28.0,8.2,22.6,32.2,11.8,3.9,2.3,14.7,15.5,41.7,31.0,65.7,11.0,9.5,1.5,36,8.0,30.0,12.0,12.0,23.0,14.0,40.0,78.5,25.8,70.3,5.6,35.1,11.3,28.0,8.2,22.6,32.2,11.8,3.9,2.3,14.7,15.5,41.7,31.0,65.7,9.0,7.4,1.6,31,4.0,37.0,90.0,2.0,25.0,8.0
2021,0.0,1276,1411,33.0,76.8,26.3,67.1,4.8,30.0,11.0,24.0,6.2,23.2,32.5,12.1,4.5,2.0,16.7,13.7,41.8,31.2,66.1,17.4,7.7,9.7,30,13.0,4.0,15.0,3.0,23.0,5.0,40.0,72.8,24.1,73.4,4.1,40.8,9.5,30.9,6.2,18.7,26.0,10.8,3.6,1.1,18.1,12.7,40.0,29.9,60.8,7.9,-4.4,-4.0,28,0.0,50.0,331.0,14.0,13.0,16.0
