Team_name,Team_BPI,Team_DEF_I,Team_OFF_I
1222,23.0,13.9,9.1
1163,22.7,8.9,13.8
1345,20.3,7.2,13.1
1120,18.5,8.6,9.9
1235,18.2,11.5,6.7
1112,18.2,8.1,10.0
1397,18.1,10.5,7.6
1181,17.9,7.0,10.9
1314,17.0,7.7,9.3
1166,16.8,5.9,10.9
1228,16.3,4.5,11.7
1104,16.2,2.8,13.4
1266,15.3,6.7,8.6
1124,15.1,3.3,11.8
1211,14.9,4.0,10.9
1388,14.0,8.4,5.6
1277,13.8,8.3,5.6
1140,13.5,4.5,9.0
1458,13.3,4.7,8.6
1155,12.9,4.9,7.9
1242,12.7,6.8,5.9
1400,12.7,5.9,6.7
1385,12.7,4.7,7.9
1246,12.6,2.3,10.3
1196,12.1,3.2,8.9
1403,11.7,4.2,7.6
1338,11.6,5.0,6.6
1401,11.5,4.2,7.3
1173,11.5,4.0,7.5
1153,11.5,6.9,4.6
1448,11.5,4.0,7.4
1437,11.4,7.1,4.2
1395,11.4,5.6,5.8
1280,11.1,6.9,4.3
1361,11.1,7.3,3.7
1194,11.0,2.2,8.8
1304,10.7,4.8,5.9
1328,10.6,5.0,5.6
1321,10.3,3.9,6.4
1232,10.2,1.5,8.6
1301,10.1,4.3,5.8
1450,10.1,5.4,4.7
1326,9.9,3.9,6.0
1439,9.8,2.9,6.9
1160,9.7,3.0,6.7
1344,9.4,7.2,2.2
1234,9.3,0.5,8.7
1129,9.2,4.0,5.2
1307,9.1,5.4,3.7
1428,9.1,4.3,4.8
1222,20.5,10.6,9.9
1104,18.9,10.8,8.1
1163,18.9,8.6,10.2
1397,18.3,12.5,5.7
1417,17.8,10.2,7.6
1400,16.8,8.4,8.4
1345,15.4,6.5,9.0
1211,14.9,2.5,12.5
1242,14.7,7.7,7.0
1166,14.5,6.2,8.3
1112,14.2,4.6,9.6
1124,13.8,3.2,10.6
1266,13.6,4.8,8.8
1181,13.0,6.8,6.1
1361,12.6,8.0,4.6
1116,12.6,7.8,4.7
1246,12.5,4.6,8.0
1462,12.5,3.6,8.8
1231,12.3,5.5,6.8
1388,12.2,7.6,4.6
1452,12.1,3.9,8.2
1268,12.0,5.9,6.1
1438,11.9,6.9,5.0
1353,11.7,10.1,1.6
1401,11.7,5.5,6.1
1120,11.6,6.3,5.4
1395,11.6,6.6,5.0
1235,11.6,9.0,2.6
1272,11.5,5.6,5.9
1274,11.5,1.8,9.7
1243,11.4,6.5,5.0
1228,11.1,6.8,4.3
1194,11.0,4.5,6.5
1277,10.8,5.2,5.7
1234,10.8,0.7,10.1
1326,10.4,2.9,7.5
1321,10.4,7.2,3.2
1344,10.4,3.1,7.3
1314,10.2,5.0,5.2
1336,10.2,1.8,8.4
1251,10.1,4.7,5.4
1329,10.1,8.9,1.3
1332,9.7,4.5,5.3
1301,9.6,3.7,5.9
1429,9.4,2.6,6.8
1280,9.4,8.5,0.9
1153,9.4,4.3,5.1
1129,9.2,5.5,3.7
1358,9.2,7.2,2.0
1416,9.1,6.0,3.1
1211,20.5,7.7,12.8
1222,19.8,9.7,10.1
1397,18.0,10.9,7.1
1124,17.9,7.8,10.1
1246,17.7,6.6,11.1
1242,17.6,6.7,10.9
1112,17.6,7.1,10.5
1437,17.6,6.8,10.7
1181,16.8,4.8,12.0
1403,16.5,10.5,6.0
1345,16.4,3.6,12.7
1417,16.2,6.9,9.2
1120,15.6,9.0,6.5
1234,15.5,3.5,11.9
1261,14.0,10.4,3.6
1228,13.9,6.7,7.3
1400,13.9,7.8,6.0
1314,13.3,5.5,7.8
1163,13.3,5.7,7.6
1439,13.2,5.0,8.3
1116,12.8,7.6,5.3
1388,11.8,7.3,4.5
1272,11.8,6.2,5.6
1104,11.6,3.4,8.2
1326,11.5,2.9,8.6
1276,11.4,3.9,7.6
1260,11.2,6.4,4.9
1458,10.9,6.1,4.7
1344,10.7,5.3,5.4
1328,10.7,5.6,5.1
1361,10.6,10.3,0.3
1362,10.6,5.1,5.4
1395,10.5,6.5,4.0
1277,10.3,4.7,5.6
1293,10.3,3.7,6.6
1448,10.2,4.9,5.3
1280,10.2,4.9,5.3
1329,10.2,9.4,0.8
1401,10.1,5.8,4.2
1436,10.0,3.2,6.7
1231,10.0,6.8,3.2
1323,9.8,2.9,6.9
1425,9.8,5.0,4.8
1173,9.7,5.5,4.3
