Team_name,Team_BPI,Team_DEF_I,Team_OFF_I,Year
1437.0,19.9,11.0,8.9,2016
1314.0,18.7,4.8,13.8,2016
1277.0,18.6,8.1,10.5,2016
1438.0,18.6,15.2,3.4,2016
1242.0,18.5,6.6,11.8,2016
1257.0,17.1,12.6,4.5,2016
1452.0,16.5,7.7,8.9,2016
1246.0,16.2,6.4,9.8,2016
1345.0,15.9,8.2,7.7,2016
1231.0,15.8,4.3,11.5,2016
1181.0,15.6,3.5,12.1,2016
1374.0,15.0,8.2,6.8,2016
1328.0,14.9,4.8,10.1,2016
1112.0,14.8,5.2,9.6,2016
1455.0,14.4,11.1,3.3,2016
1462.0,14.1,4.0,10.1,2016
1435.0,13.6,7.6,6.0,2016
1163.0,13.5,9.1,4.4,2016
1274.0,13.5,6.8,6.7,2016
1268.0,13.3,7.0,6.3,2016
1401.0,13.0,7.5,5.5,2016
1332.0,13.0,4.7,8.3,2016
1153.0,13.0,9.6,3.3,2016
1234.0,12.9,5.5,7.4,2016
1235.0,12.8,0.5,12.3,2016
1211.0,12.5,6.1,6.4,2016
1338.0,12.3,7.1,5.2,2016
1139.0,12.1,3.5,8.6,2016
1124.0,11.8,4.3,7.5,2016
1143.0,11.8,6.7,5.1,2016
1323.0,11.0,4.4,6.6,2016
1393.0,11.0,9.5,1.5,2016
1371.0,11.0,6.2,4.7,2016
1434.0,10.7,9.7,1.0,2016
1433.0,10.6,5.0,5.6,2016
1463.0,10.5,8.1,2.4,2016
1276.0,10.4,6.3,4.1,2016
1196.0,10.1,6.1,4.0,2016
1388.0,10.1,9.1,1.0,2016
1428.0,10.1,3.9,6.3,2016
1166.0,9.8,1.4,8.4,2016
1458.0,9.8,10.3,-0.6,2016
1203.0,9.7,4.4,5.2,2016
1155.0,9.7,9.2,0.5,2016
1400.0,9.6,7.0,2.7,2016
1372.0,9.5,6.5,3.1,2016
1199.0,9.4,1.5,7.9,2016
1140.0,9.0,0.0,9.0,2016
1173.0,9.0,7.4,1.6,2016
1343.0,8.7,3.1,5.6,2016
