Team_name,Team_W_L,Team_CONF,Team_SOR_RK,Team_SOS_RK,Team_QUAL_WINS,Year
1314.0,36-3,ACC,1.0,9.0,13-3,2008
1242.0,37-3,Big 12,2.0,46.0,15-2,2008
1272.0,38-2,CUSA,3.0,76.0,10-2,2008
1417.0,35-4,Pac-12,4.0,28.0,16-3,2008
1397.0,31-5,SEC,5.0,19.0,12-4,2008
1181.0,28-6,ACC,6.0,11.0,11-5,2008
1400.0,31-7,Big 12,7.0,25.0,11-6,2008
1207.0,28-6,Big East,8.0,32.0,9-6,2008
1458.0,31-5,Big Ten,9.0,64.0,7-5,2008
1390.0,28-8,Pac-12,10.0,24.0,9-6,2008
1338.0,27-10,Big East,11.0,12.0,8-7,2008
1257.0,27-9,Big East,12.0,14.0,11-5,2008
1450.0,26-9,Pac-12,13.0,21.0,7-8,2008
1462.0,30-7,A-10,14.0,68.0,5-4,2008
1277.0,27-9,Big Ten,15.0,33.0,7-7,2008
1266.0,25-10,Big East,16.0,26.0,5-10,2008
1323.0,25-8,Big East,17.0,52.0,7-7,2008
1139.0,30-4,Horizon,18.0,141.0,2-2,2008
1452.0,26-11,Big East,19.0,20.0,6-10,2008
1155.0,24-10,ACC,20.0,23.0,7-8,2008
1172.0,29-7,Southern,21.0,93.0,3-4,2008
1163.0,24-9,Big East,22.0,44.0,8-6,2008
1231.0,25-8,Big Ten,23.0,67.0,5-6,2008
1179.0,28-5,MVC,24.0,121.0,1-1,2008
1345.0,25-9,Big Ten,25.0,61.0,5-6,2008
1435.0,26-8,SEC,26.0,81.0,4-5,2008
1425.0,21-12,Pac-12,27.0,3.0,6-9,2008
1401.0,25-11,Big 12,28.0,49.0,5-7,2008
1274.0,23-11,ACC,29.0,34.0,9-5,2008
1328.0,23-12,Big 12,30.0,29.0,6-9,2008
1437.0,22-13,Big East,31.0,15.0,6-9,2008
1424.0,27-8,Mountain West,32.0,105.0,1-4,2008
1112.0,19-15,Pac-12,33.0,1.0,5-11,2008
1245.0,28-7,MAC,34.0,143.0,1-3,2008
1211.0,25-8,WCC,35.0,103.0,4-6,2008
1116.0,23-12,SEC,36.0,54.0,9-5,2008
1326.0,24-13,Big Ten,37.0,47.0,5-10,2008
1269.0,25-11,A-10,38.0,79.0,3-5,2008
1280.0,23-11,SEC,39.0,69.0,5-7,2008
1279.0,24-11,SEC,40.0,74.0,7-4,2008
1140.0,27-8,Mountain West,41.0,126.0,4-5,2008
1243.0,21-12,Big 12,42.0,48.0,5-8,2008
1113.0,21-13,Pac-12,43.0,40.0,6-9,2008
1124.0,21-11,Big 12,44.0,66.0,4-9,2008
1388.0,25-7,WCC,45.0,150.0,3-3,2008
1173.0,23-11,A-10,46.0,80.0,3-4,2008
1332.0,18-14,Pac-12,47.0,5.0,4-10,2008
1443.0,29-7,Sun Belt,48.0,194.0,1-3,2008
1393.0,21-14,Big East,49.0,41.0,5-9,2008
1199.0,19-15,ACC,50.0,18.0,5-8,2008
