Team_name,Team_GP,Team_PTS,Team_FGM,Team_FGA,Team_ThreePM,Team_ThreePA,Team_FTM,Team_FTA,Team_OR,Team_DR,Team_REB,Team_AST,Team_STL,Team_BLK,Team_TO,Team_PF,Team_FG_percent,Team_ThreeP_percent,Team_FT_percent,Year,Team_BPI,Team_DEF_I,Team_OFF_I,Team_CONF,Team_QUAL_WINS,Team_SOR_RK,Team_SOS_RK,Team_QUAL_LOSS,Team_Wins,Team_Losses
1104.0,37,90.1,30.7,64.5,11.2,29.9,17.6,22.8,12.8,26.9,39.6,15.9,6.9,4.4,11.8,19.9,47.6,37.3,77.2,2024,16.2,2.8,13.4,SEC,8,9.0,2.0,12,25,12
1246.0,33,89.0,32.0,64.6,9.9,24.2,15.2,19.7,10.1,27.6,37.6,17.5,7.5,6.3,10.7,17.5,49.5,40.9,77.2,2024,12.6,2.3,10.3,SEC,7,26.0,63.0,6,23,10
1112.0,36,87.1,31.2,64.5,7.9,21.6,16.8,23.4,13.1,29.5,42.6,18.5,8.3,3.7,11.9,16.4,48.4,36.6,71.7,2024,18.2,8.1,10.0,Pac-12,9,16.0,53.0,5,27,9
1460.0,32,86.5,32.3,60.9,6.8,17.8,15.1,19.9,9.0,25.6,34.6,16.5,6.3,2.8,11.8,15.6,53.0,38.3,75.7,2024,9.1,0.5,2.2,Unknown,2,50.0,223.0,12,20,15
1359.0,35,86.1,30.1,61.5,10.0,25.4,15.8,21.9,10.6,25.2,35.8,17.7,9.9,3.7,13.0,19.1,49.0,39.5,72.3,2024,9.1,0.5,2.2,Unknown,2,50.0,223.0,12,20,15
1196.0,36,85.6,29.9,65.3,7.8,22.6,17.9,25.1,14.6,27.6,42.3,15.2,6.7,5.3,11.7,18.5,45.8,34.5,71.5,2024,12.1,3.2,8.9,SEC,7,21.0,32.0,8,24,12
1232.0,39,84.8,29.3,57.9,10.9,28.7,15.4,19.3,7.2,28.3,35.5,17.9,6.1,1.8,11.6,16.4,50.5,38.2,79.6,2024,10.2,1.5,8.6,MVC,2,34.0,118.0,2,32,7
1211.0,35,84.5,32.0,61.8,6.9,19.3,13.6,18.9,10.8,27.9,38.7,16.7,6.7,3.9,9.8,15.6,51.8,36.1,72.1,2024,14.9,4.0,10.9,WCC,3,17.0,84.0,6,27,8
1219.0,36,83.9,27.8,60.1,8.3,24.4,20.1,25.8,13.1,26.6,39.7,11.9,5.1,3.3,11.1,18.1,46.2,34.1,77.8,2024,9.1,0.5,2.2,Unknown,2,50.0,223.0,12,20,15
1228.0,38,83.4,29.1,62.0,8.3,23.9,16.9,23.0,12.8,28.1,40.9,13.3,4.4,3.8,10.6,15.2,46.9,34.9,73.6,2024,16.3,4.5,11.7,Big Ten,12,7.0,18.0,7,29,9
1241.0,36,83.2,29.8,62.6,8.5,23.7,15.1,21.4,11.4,27.1,38.5,16.0,9.0,3.1,10.9,17.3,47.6,36.0,70.3,2024,9.1,0.5,2.2,Sun Belt,2,33.0,223.0,1,32,4
1234.0,34,83.1,30.1,63.4,6.6,18.9,16.2,20.9,9.8,25.8,35.6,17.8,6.8,3.9,9.6,17.0,47.6,35.1,77.4,2024,9.3,0.5,8.7,Unknown,2,50.0,223.0,12,20,15
1120.0,35,83.1,28.9,60.6,8.0,22.7,17.4,23.2,11.2,26.6,37.8,17.8,7.4,6.1,10.7,19.4,47.6,35.2,75.0,2024,18.5,8.6,9.9,SEC,6,12.0,61.0,6,27,8
1244.0,31,82.8,29.3,65.6,9.4,28.6,14.8,22.0,12.2,26.5,38.8,14.8,7.4,4.1,12.1,20.2,44.6,32.9,67.4,2024,9.1,0.5,2.2,Unknown,2,50.0,223.0,12,20,15
1345.0,39,82.3,28.4,58.3,8.2,20.2,17.3,24.1,12.2,28.2,40.4,18.5,5.4,3.6,11.3,13.7,48.8,40.4,72.0,2024,20.3,7.2,13.1,Big Ten,17,2.0,1.0,5,34,5
1165.0,30,82.1,29.8,61.2,10.3,29.7,12.1,16.7,9.6,25.9,35.4,18.1,8.3,2.6,12.2,18.3,48.7,34.8,72.3,2024,9.1,0.5,2.2,Unknown,2,50.0,223.0,12,20,15
