"Team_name","Team_BPI","Team_DEF_I","Team_OFF_I"
"Houston Cougars","23.0","13.9","9.1"
"UConn Huskies","22.7","8.9","13.8"
"Purdue Boilermakers","20.3","7.2","13.1"
"Auburn Tigers","18.5","8.6","9.9"
"Iowa State Cyclones","18.2","11.5","6.7"
"Arizona Wildcats","18.2","8.1","10.0"
"Tennessee Volunteers","18.1","10.5","7.6"
"Duke Blue Devils","17.9","7.0","10.9"
"North Carolina Tar Heels","17.0","7.7","9.3"
"Creighton Bluejays","16.8","5.9","10.9"
"Illinois Fighting Illini","16.3","4.5","11.7"
"Alabama Crimson Tide","16.2","2.8","13.4"
"Marquette Golden Eagles","15.3","6.7","8.6"
"Baylor Bears","15.1","3.3","11.8"
"Gonzaga Bulldogs","14.9","4.0","10.9"
"Saint Mary's Gaels","14.0","8.4","5.6"
"Michigan State Spartans","13.8","8.3","5.6"
"BYU Cougars","13.5","4.5","9.0"
"Wisconsin Badgers","13.3","4.7","8.6"
"Clemson Tigers","12.9","4.9","7.9"
"Kansas Jayhawks","12.7","6.8","5.9"
"Texas Longhorns","12.7","5.9","6.7"
"St. John's Red Storm","12.7","4.7","7.9"
"Kentucky Wildcats","12.6","2.3","10.3"
"Florida Gators","12.1","3.2","8.9"
"Texas Tech Red Raiders","11.7","4.2","7.6"
"Pittsburgh Panthers","11.6","5.0","6.6"
"Texas A&M Aggies","11.5","4.2","7.3"
"Dayton Flyers","11.5","4.0","7.5"
"Cincinnati Bearcats","11.5","6.9","4.6"
"Wake Forest Demon Deacons","11.5","4.0","7.4"
"Villanova Wildcats","11.4","7.1","4.2"
"TCU Horned Frogs","11.4","5.6","5.8"
"Mississippi State Bulldogs","11.1","6.9","4.3"
"San Diego State Aztecs","11.1","7.3","3.7"
"Florida Atlantic Owls","11.0","2.2","8.8"
"Nebraska Cornhuskers","10.7","4.8","5.9"
"Oklahoma Sooners","10.6","5.0","5.6"
"Northwestern Wildcats","10.3","3.9","6.4"
"Indiana State Sycamores","10.2","1.5","8.6"
"NC State Wolfpack","10.1","4.3","5.8"
"Washington State Cougars","10.1","5.4","4.7"
"Ohio State Buckeyes","9.9","3.9","6.0"
